 ID │ State    │ Lvl │ Version               │ Name                                                                                                                                                                                                                                                                                           [165/197]
 52 │ Active   │  30 │ 4.2.9                 │ Apache Karaf :: System :: Core                                                                                                                                                                                                                                                                          
 53 │ Active   │  30 │ 4.2.9                 │ Apache Karaf :: Web :: Core                                                                                                                                                                                                                                                                             
 54 │ Active   │  30 │ 4.2.9                 │ Apache Karaf :: Web Console :: Console                                                                                                                                                                                                                                                                  
 55 │ Active   │  30 │ 4.2.9                 │ Apache Karaf :: Web Console :: Features Plugin                                                                                                                                                                                                                                                          
 56 │ Active   │  30 │ 4.2.9                 │ Apache Karaf :: Web Console :: Gogo Plugin
 57 │ Active   │  30 │ 4.2.9                 │ Apache Karaf :: Web Console :: HTTP Plugin
 58 │ Active   │  30 │ 4.2.9                 │ Apache Karaf :: Web Console :: Instance Plugin
 59 │ Active   │  30 │ 0.3.11.1              │ Apache ServiceMix :: Bundles :: not-yet-commons-ssl
 60 │ Active   │  30 │ 1.7.0                 │ Apache Mina SSHD :: Core
 61 │ Active   │  80 │ 4.17.0                │ Apache XBean OSGI Bundle Utilities
 62 │ Active   │  80 │ 4.17.0                │ Apache XBean :: Classpath Resource Finder
 63 │ Active   │  30 │ 3.11.1.v20150902-1521 │ Eclipse Compiler for Java(TM)
 64 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Asynchronous HTTP Client
 65 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Continuation
 66 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Deployers
 67 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Http Utility
 68 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: IO Utility
 69 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: JAAS
 70 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: JMX Management
 71 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: JNDI Naming
 72 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Plus
 73 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Proxy
 74 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Rewrite Handler
 75 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Security
 76 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: JASPI Security
 77 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Server Core
 78 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Servlet Handling
 79 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Utility Servlets and Filters
 80 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Utilities
 81 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Utilities :: Ajax(JSON)
 82 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Webapp Application Support
 83 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Websocket :: API
 84 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Websocket :: Client
 85 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Websocket :: Common
 86 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Websocket :: javax.websocket :: Client Implementation
 87 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Websocket :: javax.websocket.server :: Server Implementation
 88 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Websocket :: Server
 89 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: Websocket :: Servlet Interface
 90 │ Active   │  30 │ 9.4.28.v20200408      │ Jetty :: XML utilities
 91 │ Active   │  30 │ 3.14.1                │ JLine Builtins
 92 │ Active   │  30 │ 3.14.1                │ JLine Reader
 93 │ Active   │  30 │ 3.14.1                │ JLine Terminal, Fragments: 94
 94 │ Resolved │  30 │ 3.14.1                │ JLine JANSI Terminal, Hosts: 93
 95 │ Active   │  80 │ 8.0.1                 │ org.objectweb.asm
 96 │ Active   │  80 │ 8.0.1                 │ org.objectweb.asm.commons
 97 │ Active   │  80 │ 8.0.1                 │ org.objectweb.asm.tree
 98 │ Active   │  30 │ 2.6.1                 │ OPS4J Pax Url - war:
 99 │ Active   │  10 │ 2.6.2                 │ OPS4J Pax Url - wrap:
100 │ Active   │  30 │ 7.2.16                │ OPS4J Pax Web - API
101 │ Active   │  30 │ 7.2.16                │ OPS4J Pax Web - FileInstall Deployer
102 │ Active   │  30 │ 7.2.16                │ OPS4J Pax Web - Deployment Descriptor Model
103 │ Active   │  30 │ 7.2.16                │ OPS4J Pax Web - Extender - WAR
104 │ Active   │  30 │ 7.2.16                │ OPS4J Pax Web - Extender - Whiteboard
105 │ Active   │  30 │ 7.2.16                │ OPS4J Pax Web - Jetty
106 │ Active   │  30 │ 7.2.16                │ OPS4J Pax Web - Jsp Support
107 │ Active   │  30 │ 7.2.16                │ OPS4J Pax Web - Runtime
108 │ Active   │  30 │ 7.2.16                │ OPS4J Pax Web - Service SPI
111 │ Active   │  80 │ 1.66                  │ bcpkix
112 │ Active   │  80 │ 1.66                  │ bcprov
113 │ Active   │  80 │ 4.0.1                 │ Kryo
114 │ Active   │  80 │ 1.3.0                 │ MinLog
115 │ Active   │  80 │ 1.11.7                │ ReflectASM
116 │ Active   │  80 │ 2.11.0                │ Jackson-annotations
117 │ Active   │  80 │ 2.11.0                │ Jackson-core
118 │ Active   │  80 │ 2.11.0                │ jackson-databind
119 │ Active   │  80 │ 22.0.0                │ Guava: Google Core Libraries for Java
120 │ Active   │  80 │ 1.3.2                 │ config
121 │ Active   │  80 │ 2.6.1                 │ Concurrent-Trees
122 │ Active   │  80 │ 3.1.9                 │ Atomix
123 │ Active   │  80 │ 3.1.9                 │ Atomix Cluster
124 │ Active   │  80 │ 3.1.9                 │ Atomix Protocols :: Primary Backup Protocol
125 │ Active   │  80 │ 3.1.9                 │ Atomix Primitive API
126 │ Active   │  80 │ 3.1.9                 │ Atomix Protocols :: Raft
127 │ Active   │  80 │ 3.1.9                 │ Atomix Storage
128 │ Active   │  80 │ 3.1.9                 │ Atomix Utilities
129 │ Active   │  80 │ 3.2.2                 │ Metrics Core
130 │ Active   │  80 │ 3.2.2                 │ Jackson Integration for Metrics
131 │ Active   │  80 │ 4.2.3                 │ ClassGraph
132 │ Active   │  80 │ 4.1.35.Final          │ Netty/Buffer
133 │ Active   │  80 │ 4.1.35.Final          │ Netty/Codec
134 │ Active   │  80 │ 4.1.35.Final          │ Netty/Codec/HTTP
135 │ Active   │  80 │ 4.1.35.Final          │ Netty/Codec/HTTP2
136 │ Active   │  80 │ 4.1.35.Final          │ Netty/Codec/Socks
137 │ Active   │  80 │ 4.1.35.Final          │ Netty/Common
138 │ Active   │  80 │ 4.1.35.Final          │ Netty/Handler
139 │ Active   │  80 │ 4.1.35.Final          │ Netty/Handler/Proxy
140 │ Active   │  80 │ 4.1.35.Final          │ Netty/Resolver
141 │ Active   │  80 │ 2.0.25.Final          │ Netty/TomcatNative [BoringSSL - Static]
142 │ Active   │  80 │ 4.1.35.Final          │ Netty/Transport
143 │ Active   │  80 │ 4.1.35.Final          │ Netty/Transport/Native/Epoll
144 │ Active   │  80 │ 4.1.35.Final          │ Netty/Transport/Native/Unix/Common
145 │ Active   │  80 │ 2.3.1                 │ jaxb-api
146 │ Active   │  80 │ 1.0                   │ jdom.jdom
147 │ Active   │  80 │ 2.9.3                 │ Joda-Time
148 │ Active   │  80 │ 0.9.4                 │ minimal-json
149 │ Active   │  80 │ 1.9.3                 │ Apache Commons BeanUtils
150 │ Active   │  80 │ 1.10.0                │ Apache Commons Codec
